country,gross_loans,pays
Gambia,2211844,Gambie
Liberia,3079348,Libéria
Sierra Leone,3506023,Sierra Leone
Republic of the Congo,3586558,République du Congo
Namibia,3867860,Namibie
Mali,3931992,Mali
Chad,7991961,Tchad
Niger,8349366,Niger
Zambia,11218986,Zambie
Guinea,11926509,Guinée
Mozambique,13069803,Mozambique
Malawi,17700453,Malawi
Zimbabwe,19189087,Zimbabwé
Burundi,30923939,Burundi
Burkina Faso,33023154,Burkina Faso
South Sudan,33794465,Soudan du Sud
Ghana,53973978,Ghana
Madagascar,66454906,Madagascar
Rwanda,86767232,Rwanda
Ivory Coast,110384177,Côte d’Ivoire
Democratic Republic of the Congo,127229259,République Démocratique du Congo
Tanzania,137839340,Tanzanie
Togo,171369607,Togo
Benin,177572052,Bénin
Uganda,178502548,Ouganda
Senegal,222842331,Sénégal
Cameroon,247734649,Cameroun
Nigeria,274768168,Nigéria
Ethiopia,558787567,Éthiopie
Kenya,1849996504,Kenya
South Africa,3422231357,Afrique du Sud
